"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"LG";"W/D COMBO";"WM3998HBA";"NEW/Assurion";"1874253623";"2 PROBLEMS. MAKING HIGH PITCHED NOISE WHEN FILLING WITH WARM WATER. MAKING GROWLING NOISE DURING WASH CYCLE. SAYS ITS NOT EXCLUSIVE TO SPINNING. SAME ISSUE AS LAST TIME";"09/23/25 Replaced parts. op ok";"Go to Diag   08/14/25 tb

08/18/25 Hot valve squealing when filling, Circ. pump grinding, UI knob does not register change. geo

08/21/25 No parts installed. Wrong size connector blades on valve, too big for connector. geo

09/15/25 Customer not avail. Out of town, emergency. Please Reschedule. geo

09/23/25 Replaced parts. op ok geo";"AHA75693409";;;;;;;"5220FR2006H";"EBR78923311";;"5220FR2006W";;"EBR85194721";;;"DrainPmpAsm4267";;;;;;;"#Valve1541";"#DispPCB23040";;"#Valve4267";;"DispPCB24808";;
"Samsung";"Microwave";"ME21DG6300SRAA 00";"Samsung Warranty";"4182036374";"THE VENT FAN MAKING GRINDING NOISE.
";"Changed part. op ok";"Changed part. only claim fan. HASS not available for this model. 08/20/25 tb";"DE94-02367H";;;;;;;"DE31-00029H";"DE31-10172D";"DE26-00126A";"OM75P-21-ESGN";"DE96-00269A";"CRM";;;"#Fan 8714";;;;;;;"Fan 13097";"#Motor 5032";"#HV Trans 11497";"#Mag 11581";"#Diode/Cap 2550";"8/25/25";;
"GE";"refrigerator";"GYE22GYNKFS";"GE warranty";"074880662";"NOT COOLING / NO COOL";;"Go to Diag  R600a  08/14 TB
 8/14 cx texed NFM sending a new fridge out and taking this one back AE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"washer";"GFW550SSN5WW";"GE warranty";"074880593";"NOT DRAINGING DOOR NOT OPENING";"Changed parts. op ok";"Changed parts. Cleared drain hose. 
House is infested with mice/rates. The entire floor, counters, etc are covered in rat urine/feces.
Do NOT service this customer again. 08/25 TB";"WH22X38697";;;;;;;"WH11X39237";"WH01X29528";"WH01X32580";"CRM";;;;;"#Main 11892";;;;;;;"#Pump 5831";"Lock 3623";"#Latch 0446";"8/28/25";;;;
"GE";"Washer";"HTW265ASW0WW";"GE warranty";"074880942";"UNIT ONLY FILLS UP 1/4 THEN RUNS.";"08/19/25 Customer education";"08/19/25 Part not installed. Customer stated that it doesn't fill over the clothes like her previous unit. 1. Low house water pressure, 2. Explained about water consumption and adjustments of unit per mfg for that issue. Ran tests, especially water pressure. Recommended having plumber adjust house water pressure. geo";"WH22X38438";;;;;;;;;;;;;;;"#Main 9512";;;;;;;;;;;;;;
"GE";"washer";"GTW220ACW0WW";"GE warranty";"074881226";"AGITATING VERY HARD. ALL THE CLOTHES ARE GETTING TWISTED AND BUNDLED UP. CLOTHES BECOME ALL TANGLED AND OFF BALANCE";"Changd parts. op ok";"Diag. 08/14 TB

08/18/25 Tenent not avail. Reschedule. geo

Unit leaks oil from GC. 08/22 TB

Changed parts. 08/27/25 tb";"WH03X33729";;;;;;;"WH01X27538";"WH03X32097";"WH03X29559";"WH43X30957";"WH02X24374";"CRM";;;"GC 10000";;;;;;;"Belt 0751";"Pulley 1465";"#Motor 8115";"#Agit 5678";"Agit Nut 0437";"9/6/25";;
"VIZIO";"tv";"V655-H19";"NEW/Assurion";"1874319772";"NO PICTURE - BLACK SCREEN VIDEO/PICTURE-NO PICTURE. CAN HEAR";"Needs LED backlghts. Parts not available. NEW/Asurion will contact customer.";"08/20 2 pictures from Tom are on the X drive. dk

No backlight. called NEW/Asurion, Needs backlights and parts not available. Warranty will contact customer. Close ticket. 08/20/25 tb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"VIZIO";"tv";"V585-H11";"NEW/Assurion";"1874320527";"PICTURE AND SOUND BUT THERE";"Needs panel. NEW/Asurion to DNR.";"Lines in picture from left fading to right(top). Needs panel. Pics to NEW/Asurion and called. No part, DNR. Warranty will call customer. 08/20/25 tb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amana";"Microwave";"HDC21RB2";"Commerical Microwave";;"NO POWER";"Unit came in dead, main fuse blown, top mag ruined, bottom mag stressed, blower fan loose, arcing under tray. F-5 Error Code, HV/LV Control Board failure. Replaced defective parts, secured connections, sealed tray, checked operation, OK. Unit Done.";"11/04 Unit picked up by customer dk

10/14/2025, Unit Done, CN, talked to Chris, via phone. K

8/26/2025, Shop Note:
Unit Dead
-Main fuse, CCMR20 open
-F-5 Error code, indicating problem with HV/LV Control Board.
-Loose blower fan
Get Control board to continue troubleshooting.

10/7/2025, Repair Progress:
Was able to find a control board, unit operational, but top mag ruined, bottom mag stressed. Best to replace both mags, if not replace top mag, but cannot warranty the bottom mag. Unit salvageable. Talk to Chris about replacing one mag or both mags. Give estimate for one mag and two mag replacning. K-N

10/07 TL;DR control pcb replaced, needs two mags but could go with one only. dk

10/07 Estimate with 2 mags 773.37, one mag 593.19 dk

Parts Installed:
HV/LV Board 115e
20A Fuse 19e
Mag2M248K(A) 101e
Sealed Tray

10/13/2025, Final Repair Summary:
Unit came in dead, main fuse blown, top magnetron ruined, bottom magnetron stressed, blower fan loose, arcing under tray. When unit was operational, the display came up with F-5 Error Code, indicating HV/LV Control Board failure. Replaced defective parts, secured connections, sealed tray, checked operation, OK. Unit Done.  


";"R0131381";;;;;;;"M0805303";"59004013";;;;;;;"HV/LV Board";;;;;;;"20A Fuse";"Mag2M248K(A)";"Sealed Tray";;;;;
"SAMSUNG";"tv";"UN65DU6900FXZA";"self pay";;"WILL NOT TURN ON";"Samsung would not dispatch to us, customer retrieved the tv the same day or next. dk";"08/28  Unit has been picked up by the customer. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"Microwave";"JVM3160RF9SS";"GE warranty";"074886085";"KEEPS SHUTTING DOWN OR WON T STAY RUNNING

";"The unit came with the complaint of tripping circuit breaker. Replaced interlock, tested extensively, the unit performed as expected without tripping the breaker. The customer should not plug this unit to GFCI for power source. OP OK, Done.";"If/when these parts do not fix, BRING TO SHOP  08/14/25 tb

08/21/25 No parts installed. Between 2 to 5 seconds of power up, trips the breaker. Since they began using it approx. 2 weeks ago. Brought in to shop for further evaluation. geo

8/25/2025, Shop Note:
The unit came with the complaint of tripping the breaker. The unit was tested extensively in the shop for multiple trials of 1 minute to ten minutes at a time. The unit performed as expected without tripping the breaker. May replace the latch. The customer should not plug this unit to GFCI for power source. The complex electromagnetic signals created in this device passes through the line filter and trips the GFCI, which is designed to detect such signals and interrupt the circuit. Basically, GFCI is doing its job. K
 Replaced door latch. Op OK, Unit Done.

8/26/2025, Final Repair Summary:

08/21/25 No parts installed. Between 2 to 5 seconds of power up, trips the breaker. Since they began using it approx. 2 weeks ago. Brought in to shop for further evaluation. geo

8/25/2025, Shop Note:
The unit came with the complaint of tripping the breaker. The unit was tested extensively in the shop for multiple trials of 1 minute to ten minutes at a time. The unit performed as expected without tripping the breaker. May replace the latch. The customer should not plug this unit to GFCI for power source. The complex electromagnetic signals created in this device passes through the line filter and trips the GFCI, which is designed to detect such signals and interrupt the circuit. Basically, GFCI is doing its job. K
 Replaced door latch. Op OK, Unit Done.
 
8/2r/2025, Final Repair Summary:
The unit came with the complaint of tripping the breaker. Replaced interlock, tested extensively for multiple trials of 1 minute to ten minutes at a time. The unit performed as expected without tripping the breaker. The customer should not plug this unit to GFCI for power source. The complex electromagnetic signals created in this device passes through the line filter and trips the GFCI, which is designed to detect such signals and interrupt the circuit. Basically, GFCI is doing its job. K
 Replaced door latch. Op OK, Unit Done.

09/02/25 Delivered, installed. unit. Still tripping GFCI Breaker. Advised to have electrician correct breaker issue. geo";"WB27X29801";;;;;;;"WB26X35681";"WB49X45009";"WB10X35573";"CRM";;;;;"Main 8231";;;;;;;"Fan 6206";"Mag 7151";"Latch 1605";"9/11/25";;;;
"WOLF";"Wall Oven";"S030FS";"Armis Extended";"SR350860";"MAKING LOUD NOISES THE FAN WOULD GO HIGH THEN LOW AND ALSO PRODUCED CLICKING NOISES SOUNDED LIKE PAPER CRUMBLING, BUT UNIT WAS HEATING OKAY.";" 09/12/25 Replaced part. op ok";"65 dollar co pay

08/27 https://www.appliancefactoryparts.com/ovens/wolf/so30f-s.html#Motors-and-Blades dk

09/12/25 Replaced part. op ok geo";"815586";;;;;;;;;;;;;;;"cooling fan";;;;;;;;;;;;;;
"GE";"dishwasher";"GDP670SYV1FS";"GE warranty";"074888629";"THE DISHWASHER TURNED OFF AND THE BREAKER WAS TRIPPED, WHEN RESET THE UNIT TURNED ON BUT WOULDNT RUN THEN SHUT OFF COMPLETELY. BROUGHT OUT AN ELECTRICAN SAID THAT THERE IS NO ELECTRICAL ISSUE.";"Changed parts. op ok";"Disabled heater. Unit will run without tripping breaker with heater disconnected. New main has been changed and in unit. 
Model/Sn Sticker is not on unit. Spoke to TAG about. They said to have customer call Customer relations and make new sticker.  08/22 TB

Changed parts. Ran unit without tripping breaker. 09/04/25 tb";"WD21X35479";;;;;;;"WD21X33778";"WD21X32678";"WD21X26318";"WD02X33462";"WD05X35098";"CRM";;;"Main 11538";;;;;;;"#UI 8831";"AC harnes 2186";"#Jumper harn 0615";"Heater Nut 0385";"Heater 2249";"9/12/25";;
"GE";"W/D combo";"GUD27ESSM1WW";"GE warranty";"074888572";"UNIT RUNS OKAY BUT NO HEAT, DOES NOT HEAT UP.";"Replaced parts. op ok";"****APT 104- DOES NOT FIT ADDRESS LINE****
Therms ok. Heater 37 and 24 ohms.  not enough power getting through controller to heater. 08/21/25 tb

Changed controller. The black wire from the T block (stub) is open. 08/28 TB

Replaced parts. 09/05/25 tb
";"WE11M62";;;;;;;"WE04X29059";"WE4M137";"WE4M528";"WH19X27249";"WE04X22654";"WE08X29053";"WE49X27320";"CRM";"#Heater 19998";;;;;;;"#Inletthermst0728";"#Thermost 5160";"#thermost 2068";"Harnes 4148";"Timer 6880";"Harness 13314";"#Motor 16002";"9/11/25"
"GE";"refrigerator";"GYE22GYNKFS";"GE warranty";"074888521";"NOT COOLING";"bill out";"8/15 cx said NFM will sending a new fridge out and taking this one back";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"Dryer";"GTDP490ED0WS";"Assurant Extended";"48769567";" BELT GOING OUT LOUD NOISE, BELT OR WHATEVER DRIVES THE BARREL IS BAD. IT SQUEAKS ALL THE TIME";"Changed parts. op ok";"8/14 tex

Changed parts. 08/25 TB";"WE14X25080";;;;;;;"WE3M26";"WE03X20434";"WE03X29897";"WE12X83";"WE03X37317";"WE03X37318";"WE3M33";;"#Duct trap 6185";;;;;;;"Bearing 2406";"#Idler 6095";"#Belt 2800";"#Pulley 1126";"Slide 0923";"Slide 0538";"#Shaft";
"GE";"dishwasher";"CDT858P2V1S1";"GE warranty";"074889148";"UNIT WORKS OKAY BUT THE ONLY PROBLEM IS A BROKEN PLASTIC PEICE SHOWN IN TEXT MESSAGE PHOTOS SAID THAT THE PLASTIC PEICE FELL OUT WHEN OPENING THE DOOR.";"08/20/25 Customer education";"8/14 tex

08/20/25 No parts installed. Small portion of sound repellant came off from lower part of inner door not affected by water contact. Inspected. op ok geo";"WD27X34729";;;;;;;"WD27X34702";;;;;;;;"#Outer door 15446";;;;;;;"#Innerdoor 13569";;;;;;;
"Lg";"tv";"OLED55C2PUA.DUSQLJR";;;"SOUND BUT NO PICTURE";"Not cost efffective, customer declined repair and picked up unit. dk";"08/29 customer picked up remote, brackets and the tv. dk 

8/18/2025, Shop Note:
TV did not display video, no wudio. Standyby light flashed four times; pointing to problem with main board, power supply, or backlight. On this TV it is not possible to isolate the backlight and turn on the TV. If the above components did not fix the problem then it could be the panel as well. T start reoair, replace the listed part one at a time before concluding panel failure.
Get the listed parts.

08/18   277027106909 kit m, p + t 179.19
08/18  145651251507 main pcb $150
08/18  197301096177 main       $114
08/18  134967252604 power      $125

08/18 145651251507 main pcb $149.98
         197301096177 main        $114.00

08/18 gave est 452.79-42.90=$409.89 remainder if approved. dk
          ";;;;;;;;"EBT66946401";"eay65904032";"6871l-6872a";;;;;;"Kit sj 192.18";;;;;;;"Main";"Power Supply";"T-Con";;;;;
"Holland";"sensor";;;;"SENSOR CAME LOOSE FROM UNIT.";"attached cable end. finished 08/15/25 krd";"08/15 unit picked up by customer. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"refrigerator";"RJ263BEAEWW/AA";"self pay";"4182055511";"NOT MAKING ICE. ICE STUCK.";;"08/21/25 customer has not called back close per arron";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"refrigerator";"GYE22GENKDS";"GE warranty";"074894332";"HELLO- THE REFRIGERATOR IS VERY COLD TO THE TOUCH AND SWEATING, CREATING CONDENSATION ON THE LEFT SIDE.  TEMPERATURE OF THE REFRIGERATOR IS SET AT 38 DEGREES.";"08/19/25 Unit deemed unrepairable per TAG case # 17778445";"picture sent by customer shows condensation on the left side of the outside of the unit. 8/15 AA

08/19/25 Condensation build up on outside of case on LH side. Called TAG. Sent pics to TS. They deemed unrepairable. Gave case #17778445 to Customer. GE will contact customer within 2 business days. geo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"refrigerator";"WRS321SDHW05";"Assurant/Lowes Ext";"25000819836DF";"THE REFRIGERATOR STARTED, THIS MORNING, MAKING A  BUGGING SOUND AND RUNNING LOUDER THAN USUAL. IT SEEMS TO BE COOLING AND THE ICEMAKER AND WATER DISPENSER ARE WORKING.";"Issue not duplicated. Customer will notify if issue becomes more duplicated/repeatable. op ok";"Diag. likely TB. 08/18 TB

Cannot duplicate noise or issues. Temps RF=35/FZ=2.
Customer says it may occur 2x/day or not for several days. 
Occurance last 30 seconds or less (buzzing/humming?).
Customer will monitor and notify Warranty if problem becomes mote duplicatable or consistent. 08/22/25 tb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dishwasher";"CDD420P2T1S1";"GE warranty";"074891352";"BOTH DRAWERS LOCKED UP YESTERDAY AFTER TRYING TO RUN A CYCLE. DID A POWER RESET AND THEY BOTH OPENED BUT STILL WOULD NOT RUN WHEN ATTEMPTING CYCLES.  THE TOP DRAWER WON'T EVEN CLOSE NOW - HAS MAJOR RESISTANCE";"Changed parts. op ok";"Go to Diag

08/18 This will likely need the drawer cover risers and locks. Will likely need to release both drawers to check.
Will likely take 3-4 hours for parts installs. tb

Realigned drawer. Unit will start on both drawers, but not fill water. Can hear pumps run. 08/22/25 tb

Changed parts. 10/03/25 tb";"WD15X30860";;;;;;;"WD21X34838";"WD21X31482";"WD21X31480";"WD21X31199";"CRM";;;;"Dual Valve 1875";;;;;;;"MC Board 3477";"#harness 3618";"#Harness 5977";"#Harness 0452";"10/9/25";;;
"GE";"dryer";"PTD60EBSR2WS";"GE warranty";"074891212";"DRYER TURNS BUT DOES NOT HEAT";"09/03/25 Replaced parts. op ok";"08/22/25 No parts installed. Relay on main sticking, Therms ok. geo

08/28/25 No main in location. Reschedule customer ASAP. geo

09/03/25 Replaced parts, Repaired heater connection wire. op ok";"WE11X21156";;;;;;;"WE4M398";"WE04X30381";"WE04X31037";"WE4M448";"WE22X34377";"CRM";;;"#Heater 13560";;;;;;;"#thermist 2563";"#HL thermost 0417";"#Inlet therm0469";"#ExhaustTherm3217";"Main10905";"9/6/25";;
"GE";"refrigerator";"GFE28GMKVES";"GE warranty";"074896347";"DOOR TO REMOVE ICE FROM CONTAINER FREEZES SHUT. FORMS FROST AROUND DOOR SEAL.";"09/11/25 Replaced parts. op ok";"Diag.  May have leak or warm air causing melting. 08/19/25 tb 

08/22/25 Ice door seal warped/torn. geo

09/11/25 Replaced parts. op ok geo";"WR78X26087";;;;;;;"CRM";;;;;;;;"IcebxDoor9557";;;;;;;"9/17/25";;;;;;;
"Sony";"TV";"XBR-55X900C";;;"TV TURNS ON DISPLAY LOGO, THEN SCREEN BLANKS, STADBY LIGHT BLINKS 4 TIMES REPEATEDLY.";;"8/16/2025, Shop Note:
8/27 Customer do not want to proceed, ok to dispose the TV, NE.

TV TURNS ON DISPLAYS LOGO, THEN SCREEN BLANKS, STADBY LIGHT BLINKS 4 TIMES REPEATEDLY.
Problem could be with power supply, or backlight which is not repairable on this TVs.
 
TV may need power supply replaced, or main board with T-Con.
";;;;;;;;;;;;;;;;"Power Supply";;;;;;;"Main Board";"T-Con";;;;;;
"Spartus";"Clock";"I657";;;"ELECTRIC CLOCK NOT WORKING";"cleaned and lubed unit. pendulum moves, keeps time. finished 08/21/25 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"refrigerator";"GFE28GMKVES";"GE warranty";"074897475";"IT WILL NOT HOLD TEMP  THE FREEZER SEEMS TO BE WORKING MUCH BETTER THAN THE REFRIGERATOR



";"08/25/25 Reassign for sealed system issue R600a";"Likely needs fully diag. Get temps of BOTH RF and FZ.08/19/25 tb

The freezer seems to be working much better than the refrigerator

08/25/25 Part not installed. Unit has coolant leak/low on tube in machine compartment. R600a. Also, Refrigerator crowded, not allowing for circulation. Customer getting moderately hostile, disputing what i check or say. Black list?    ***REASSIGN FOR SEALED SYSTEM ISSUE***  Pics sent to shop text. geo";"WR17X37708";;;;;;;;;;;;;;;"#RF Evap Cov 9208";;;;;;;;;;;;;;
"LG";"Washer";"WM3998HBA";"Assurant/Lowes Ext";"25000824320DF";"IT'S HOLDING WATER, LOUD WHEN WASHING, AND THESE SHAVINGS COMING OUT OF DRAIN WHERE YOU RELEASE WATER LOUD AND SHAVINGS COMING OUT OF DRAIN  PROD CODE F3L2CRV2E.ABLEVUS

";"NOT COST EFFECTIVE - DIAG ONLY APPROVED.";"Go to Diag
Check rear shaft seal
Check dampers
Check door gasket. 08/18 TB

ALSO MAKING BANGONG NOISE LIKE THE TUB IS OF BLANCE

Spin basket is no longer held by shaft and is grinding the inner parts of the drum out. The debris is running through drain pump and grinding. The shaft is not sealed spewing water out and into motor.  The drum/spiin basket will need total rebuild. 08/21/25 tb ";"MCK67635904";"4040FR4051C";"AHL76195110";"ACV72909503";"4774FR3118E";"AHA75693409";;"AGM75510734";"AJQ73674418";"MHW62361301";"4000FR4031D";"MFE62081001";"4036ER4001F";"MDS63834704";"4040FR4051C";"Tub Front 11308";"Stator 23346";"Rotor 14962";"Damper 2983";"Damper pin 0537";"Pump Assy 4267";;"Tub Rear 30443";"Spin Bsk 32500";"Spider 24808";"Screw 0537";"Lifter 2276";"Gasket 1281";"Gasket 19132";"Bolt 0854"
"GE";"dishwasher";"GDP645SYN2FS";"Assurant/Lowes Ext";"25000826954DF";"BOTTOM SPRAY ARM POPPED OFF DURING CYCLE AND THEN MELTED SENT PHOTOS

";"09/05/25 Replaced parts. op ok";"09/05/25 Lower spray arm came off and melted. Checked diverter, heater. Replaced parts. op ok geo";"WD22X33499";;;;;;;"WD19X25466";"WD05X35098";;;;;;;"Lower arm 0988";;;;;;;"Diverter 0695";"Heater 2249";;;;;;
"GE";"w/d combo";"PFQ97HSPV0DS";"GE warranty";"074902643";"NOT DRAINING:NOT DRAINING

";"08/28/25 Replaced parts op ok";"IF drain needs changed, MUST change sensor/filter, AND clean filter cavity. 08/20 TB

08/27/25 No parts installed. Blue drain hose plugged up with debris. Cleared debris, op ok. Cleaned Filter cavity. geo

08/28/25 Replaced parts op ok geo";"WH11X39237";;;;;;;"WE04X35682";"WH01X35685";"CRM";;;;;;"drain pump 5831";;;;;;;"Sensor 2862";"Filter 2446";"9/6/25";;;;;
"GE";"dishwasher";"GDT550PYR7FS";"GE warranty";"074902758";"DIW MAKING GRIND NOISE WON T RUN, DW POWERS ON LIGHT COME ON  START BEEPS AND SHUT OFF 

";"08/26/25 Replaced parts. op ok";"08/21/25  Customer not avail at time of arrival. Customer requests to reschedule, after 2 pm if possible. geo

08/26/25 Debris in drain pump. Cleared, Replaced parts. op ok geo";"WD19X25700";;;;;;;"WD19X25461";"CRM";;;;;;;"#Pump 8186";;;;;;;"Drain Pmp 2505";"8/31/25";;;;;;
"LG";"refrigerator";"LFXS24623W";"Assurant Extended";"48782260";" REFRIGERATOR IS NOT COOLING TO THE TEMPERATURE SET ON THE CONTROL PANEL.   REFRIGERATOR SECTION IS OFF BY 8-10 DEGREES AND THE FREEZER SECTION IS OFF BY 20-26 DEGREES.  

";;" DIAGNOSTIC reassign";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Maytag";"dishwasher";"MDB8959SKB";"CENTRICITY";;" DISPLAY/CONTROL PANEL ISSUE
";;"08/21/25 called customer the unit is working at this time";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LG";"refrigerator";"LRMVC2306D/01";"CENTRICITY";;" CRAFT ICE MAKER IS NOT WORKING, NOT DROPPING ICE, WHICH WE HAVE HAD REPLACED SEVERAL TIMES NOW.";"Changed part. op ok";"08/19 Your parts have been ordered. dk

Changed part. 08/27 TB";"AEQ73449909";;;;;;;;;;;;;;;"Craft IM 22502";;;;;;;;;;;;;;
"Maytag";"Washer";"MHW5630HC3";"Assurant/Lowes Ext";"25000828415DF";"ANYTIME WE WASH 2 THINGS HAPPENED, THE WASHING MACHINE REMAINS LOCKED. PRESSING AND HOLDING THE CONTROL LOCK DOESN'T WORK. ALSO AFTER WASHING A LOAD ERROR CODES ON THE DISPLAY THE MAIN ONE BEING (5D)

";"08/26/25 Replaced parts. op ok";"Sd=suds error. likely drain issue. But also educate customer on appropriate soap amounts. CHANGE DAMPERS. 08/20 TB

ALSO AFTER WASHING A LOAD ERROR CODES ON THE DISPLAY THE MAIN ONE BEING (SD)

08/26/25 Drain pump had debris, dampers weak. Checked pressure hose, switch, door lock. Replaced parts. op ok geo";"W11550649";;;;;;;"W11458345";"W11565030";"W11316914";"W11316246";"W11456953";"W11316766";;;"#Main 18952  +C60";;;;;;;"Drain pump 10045";"#Latch 2184";"#Strike 0850";"#PR sensor 5778";"#PR Hose 1505";"Damper 4705";;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"range";"NSE6DB870012AA 310";"Samsung Warranty";"4182079851";" THE BIG BURNING IS NOT TURNING ON THE BURNER ON FRONT RIGHT YES OVEN WORKS




";"09/16/25 Replaced parts. op ok";"after confirming Mod/SN, recheck Range bulletin for abnormal heating
If multi parts used, MAY need to authorize with samsung. 08/19/25 tb

08/27/25 No parts installed. RF burner ok. Control for RF burner shorted. Called SS for part info. geo

09/16/25 Replaced parts. op ok geo";"DG47-00065A";;;;;;;"DG47-00080A";"DG94-05990D";"DG44-01007C";"CRM";;;;;"#Heater 19649";;;;;;;"#Heater 18343";"Knob";"RF Control8977";"9/25/25";;;;
"GE";;"ZFSB23DRGSS";;;"PARTS ORDER";;;"wr17x13035";;;;;;;"wr02x11426";"wr02x11848";;;;;;;"qc fan&harness";;;;;;;"tube, drain";"tube, drain";;;;;;
"SONY";"tv";"KDL-46S4100";"NEW/Assurion";"1873596292";"HDMI PORTS DONT WORK ONLY 2 AND 3 WORK
";;" 08/18/25 had reassigned they won't let us bring it to the shop gs";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dryer";"GTD42EASJ2WW";"Assurant/Lowes Ext";"25000831251DF";"WHEN THE DOOR OPENS FOR THE DRYER THE LIGHT IS NOT COMING ON.

";"Changed parts. op ok";"Cx delined 8/22 sc offerf, NE. 

Cust not avaialabe. 08/25/25 tb

Changed parts. 09/03/25 tb";;;;;;;;"WE03X25576";"WE04X28977";;;;;;;;;;;;;;"Top Bearing 5560";"#Switch 0642";;;;;;
"HISENSE";"tv";"65U8H";"NEW/Assurion";"1874719329";"THE BACK LIGHT WENT OUT
";"Unit has a bad panel. approved for buyout";"8/21/2025, Contacted the NEW/Assurion technical support line, spoke with Dave. THe the Support staff suggested a buyout of this unit. Will submit for buyout review and contact the customer in a couple days. K


8/20/2025, Site Note:
TV turns of, has blue screen.

8/20/2025, Shop Note:
Hisense TV with blue screen due to backlight problem on the whole screen and portion of black discoloration on the middle left part of the screen. The TV needs LED and possibly panel replaced.
The screen seems to be glued to the frame which makes LED replacement difficult due to the risk of breaking the panel, and not being able to glue it back securely.

So, this TV may not be repairable. Pix sent to Roya.

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dishwasher";"PDT755SYRBFS";"GE warranty";"074912758";"POWER TO UNIT BUT  ALS  UNIT  HAS LIGHTS BLINKING AND THE UNIT WILL START BY ITSELF  WHEN DO ONE IS THERE TO START IT

";"08/26/25 Replaced parts. op ok";"Cx declined 8/25 sc offer, NE. 
May not be able to test this.  If so, change parts. 08/19/25 tb

customer will be home next tuesday 

8/25 will not work. She is available 8/26.

08/26/25 Moisture in UI panel. Replaced parts. op ok. If issue persists, then get UI harness. geo";"WD21X35479";;;;;;;"WD21X33704";"CRM";;;;;;;"Main 11538";;;;;;;"UI Assy 15554";"8/31/25";;;;;;
"GE";"range";"PB965YP5FS";"GE warranty";"074914092";"UNITS HOT COOKTOP INDICATOR LIGHT DOES NOT GO OFF...WE USED IT LAST FRIDAY NIGHT AND IT HAS BEEN ON EVER SINCE.

";"08/25/25 Replaced parts. op ok";"08/25/25 RIGHT REAR element shorted. Rest of elements ok. Replaced parts. op ok geo";"WB30T10145";;;;;;;"WB30T10132";"WB30T10155";"WB30T10135";"CRM";;;;;"Elem 7997";;;;;;;"#Elem 3766";"#Elem 15766";"#Elem 8885";"8/29/25";;;;
"GE";"washer";"GTW585BSV2WS";"CENTRICITY";;"SPIN WILL NOT ENGAGE  DOOR LOCK DOES WORK. DRUM WILL NOT ROTATE  DOOR LOCKS, NOTHING HAPPENS.

DOOR LOCKS, NOTHING HAPPENS.";"WE WILL NOT PROCEED WITH THIS REPAIR, ESTIMATE IS APPROVED DIAGNOSTIC";"08/19 Authorization Request has been created. dk";"WH22X35757";;;;;;;"WH08X37938";;;;;;;;"Main 15266";;;;;;;"Lock kit 5842";;;;;;;
"Amana";"Microwave";"HDC21DQ";"Commerical Microwave";;"HEATS TOO SLOWLY";"Unit came dead. Main fuse open, bottom magnetron bad, interlock bad & covered with smoke from arcing. Top and bottom antenna shafts arcing. Refurbished antennas, replaced mag, fuse and interlock, cleaned cavity, sealed tray. Operation OK, Unit Done.";"10/05/2025. This unit is repaired, but customer declied the estimate. I have left multiple messages for Jeremy, the regional maintenance manager, but he has not replied yet. See below. K

10/3/2025, This customer declined repair of this unit. It is DNRed. But, I will call the regional maintenance manager to see if we could resolve this. We must get paid for our labor, or keep their unit for part. We cannot give thier unit back as a repaired unit. If they want it back, we have to remove our parts and get paid for our time and labor. K 

In the future, we need a deposit equal to repair labor cost, minimum of $150 for small units and $200 for large units before we can accept to work on them. K

Regional Maintenance Supervisor is Jeremy Langford (402) 880-6196. 

8/25/2025, Shop Note:
Unit Dead.
-Open Main fuse, CCMR20
-Bottom mag bad 2M248K(A)
-Interlock arcing and covered with smoke from arcing.
-Top and bottom antenna shafts had arcing marks.
-Clean cavity.
-Seal tray.

5/25/2025, Repair Summary:
Unit came dead. Main fuse open, bottom magnetron bad, interlock bad & covered with smoke from arcing. Top and bottom antenna shafts arcing. Refurbished antennas, replaced mag, fuse and interlock, cleaned cavity, sealed tray. Operation OK, Unit Done.

";"M0805303";;;;;;;"59004013";"59114167";"59002167";;;;;;"Fuse CCMR20";;;;;;;"MAG Lower 2M248 K";"Interlock";"Seal Tray";;;;;
